OBJECT_NAME,OBJECT_ID,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,COUNTRY_CODE,LAUNCH_DATE,SITE,RCS_SIZE,TLE_LINE1,TLE_LINE2
"FREGAT DEB","2011-037JN","158.259","5980.907","646.450","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46103U 11037JN  20275.15453527  .00033776  00000-0  60682-1 0  9993","2 46103  51.3615 208.9323 2752043 162.4541 209.4439  9.09903176  5088"
"FREGAT DEB","2011-037JP","120.884","2808.722","632.063","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46104U 11037JP  20223.28752573  .00042808  00000-0  37886-1 0  9990","2 46104  51.1389 198.3423 1343861 225.9440 122.1619 11.91224560   504"
"FREGAT DEB","2011-037JQ","108.936","2043.862","311.220","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46105U 11037JQ  20361.92722521  .07459938  00000-0  23377+0 0  9996","2 46105  51.2383 196.1360 1146583 104.7825 268.2724 13.21882258 16616"
"FREGAT DEB","2011-037JR","122.637","3077.626","519.407","DEBRIS","","","","","1 46106U 11037JR  20223.32155471 +.00080496 +00000-0 +34400-1 0  9995","2 46106 051.0769 199.9714 1564344 229.0642 116.4082 11.74192966000478"
"FREGAT DEB","2011-037JS","119.659","2800.220","530.957","DEBRIS","CIS","2011-07-18","TTMTR","MEDIUM","1 46107U 11037JS  20255.82209246  .00000721  00000-0  36149-3 0  9993","2 46107  51.2337  97.2785 1410580 263.0172  80.8699 12.03419463  7751"
"FREGAT DEB","2011-037JT","131.628","3811.720","575.095","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46108U 11037JT  21075.50592697  .00037705  00000-0  28950-1 0  9996","2 46108  51.9669 126.2428 1888006 213.3781 133.2704 10.93992343 24939"
"FREGAT DEB","2011-037JU","120.381","2794.747","601.078","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46109U 11037JU  21270.63208903  .00011561  00000-0  84149-2 0  9997","2 46109  51.5238 126.8150 1358133 329.5568  23.2749 11.96201915 50424"
"FREGAT DEB","2011-037JV","118.680","2430.098","813.166","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46110U 20071A   21229.89865035  .00073822  00000-0  15315+0 0  9998","2 46110  51.3010 187.0275 1010612  32.3086 333.5753 12.13351868 65634"
"FREGAT DEB","2011-037JW","144.975","4251.947","1274.994","DEBRIS","CIS","2011-07-18","TTMTR","SMALL","1 46111U 11037JW  21245.45109707  .00033928  00000-0  63643+0 0  9998","2 46111  50.5699 285.9888 1628244 323.0946  26.7839  9.93273901    10"
"ARIANE 5 DEB (SYLDA)","2020-056D","605.262","34367.998","280.194","DEBRIS","FR","2020-08-15","FRGUI","LARGE","1 46115U 20056D   21272.33555299  .00003983  00000-0  19120-2 0  9993","2 46115   6.3594 319.4659 7190843 151.6697 280.8883  2.37913413  9481"
